,feature
916,MFD_INTEL_QUARK_I2C_GPIO
917,CHARGER_BQ24190
918,M62332
919,MEDIA_TUNER_XC5000
920,AD5696_I2C
921,APPLICOM
922,CHARGER_LP8727
923,SND_SOC_FSL_MQS
924,CLKSRC_MMIO
925,MEDIA_TUNER_XC2028
926,TIMER_PROBE
927,TIMER_OF
928,AD5380
929,MPL115_I2C
930,NVME_FABRICS
931,DA280
932,BMP280_I2C
933,MFD_TPS65086
934,SI7005
935,AM2315
936,SENSORS_PC87427
937,W1_SLAVE_DS2781
938,MXC6255
939,RAID6_PQ
940,BLK_DEV_SD
941,VIDEO_TVAUDIO
942,BH1780
943,MAX5432
944,TSL2772
945,HID_ACRUX
946,SENSORS_SMSC47M1
947,TSL4531
948,PSAMPLE
949,SENSORS_AS370
950,AFE4404
951,SENSORS_CORETEMP
952,ATLAS_EZO_SENSOR
953,LTC2485
954,GPIO_PCI_IDIO_16
955,INV_MPU6050_I2C
956,MAX9611
957,AD5593R
958,HP_ILO
959,MAX1363
960,MTD_RAM
961,TCS3472
962,PINCTRL_PXA
963,HID_ELECOM
964,BMI160_I2C
965,SENSORS_TSL2563
966,GP2AP020A00F
967,GAMEPORT_EMU10K1
968,SENSORS_NCT6775
969,SENSORS_MAX34440
970,MFD_MAX14577
971,FB_UVESA
972,TSL2583
973,MAX44009
974,SENSORS_INSPUR_IPSPS
975,I2C_HID
976,SI1133
977,SCIF_BUS
978,MFD_MAX77693
979,PCI_ENDPOINT_TEST
980,RPR0521
981,CHARGER_BQ24735
982,MFD_INTEL_LPSS_PCI
983,MLX90632
984,ACPI_BUTTON
985,GPIO_TPS65912
986,LMP91000
987,SENSORS_XDPE122
988,TI_ADC081C
989,BMG160_I2C
990,DNS_RESOLVER
991,HP03
992,GPIO_TPS65086
993,MMC_VIA_SDMMC
994,REGMAP_W1
995,BATTERY_MAX1721X
996,BATTERY_MAX17040
